product_id,order_id,category,name,description,price
1,1,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,2.99
2,1,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,5.15
3,1,véhicule,Voiture,Un véhicule performant pour tous vos besoins de transport.,19958.16
4,2,légume,Carotte,Un légume frais pour toutes vos recettes saines.,15.66
5,2,armement,Lance-roquettes,Un équipement de pointe pour votre sécurité et défense.,19999.33
6,2,snack,Chips,Un snack croustillant pour toutes les occasions.,3.15
7,2,légume,Carotte,Un légume frais pour toutes vos recettes saines.,14.61
8,2,légume,Carotte,Un légume frais pour toutes vos recettes saines.,11.72
9,3,armement,Lance-roquettes,Un équipement de pointe pour votre sécurité et défense.,9350.32
10,4,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,1.89
11,4,snack,Chips,Un snack croustillant pour toutes les occasions.,8.34
12,5,snack,Chips,Un snack croustillant pour toutes les occasions.,13.2
13,5,boisson,Jus d'orange,Une boisson rafraîchissante et naturelle.,15.09
14,5,légume,Carotte,Un légume frais pour toutes vos recettes saines.,10.5
15,6,boisson,Jus d'orange,Une boisson rafraîchissante et naturelle.,16.35
16,6,snack,Chips,Un snack croustillant pour toutes les occasions.,12.07
17,7,boisson,Jus d'orange,Une boisson rafraîchissante et naturelle.,19.6
18,7,armement,Canon,Un équipement de pointe pour votre sécurité et défense.,16664.68
19,7,véhicule,Fusée,Un véhicule performant pour tous vos besoins de transport.,1103.86
20,7,boisson,Jus d'orange,Une boisson rafraîchissante et naturelle.,6.4
21,8,véhicule,Voiture,Un véhicule performant pour tous vos besoins de transport.,6591.64
22,8,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,16.68
23,9,légume,Carotte,Un légume frais pour toutes vos recettes saines.,7.97
24,9,véhicule,Avion,Un véhicule performant pour tous vos besoins de transport.,10216.81
25,9,boisson,Jus d'orange,Une boisson rafraîchissante et naturelle.,10.51
26,9,véhicule,Voiture,Un véhicule performant pour tous vos besoins de transport.,8734.26
27,10,snack,Chips,Un snack croustillant pour toutes les occasions.,8.57
28,11,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,10.4
29,11,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,10.08
30,11,boisson,Jus d'orange,Une boisson rafraîchissante et naturelle.,16.31
31,11,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,16.5
32,12,armement,Missile,Un équipement de pointe pour votre sécurité et défense.,12639.9
