id_produit,id_commande,category,nom,description,price
1,7,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,51,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,64,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,162,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,58,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
1,,fruit,Pomme,Un fruit croquant et juteux parfait pour les collations.,4.22
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,69,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,55,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,40,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
2,,fruit,Banane,Un fruit riche en potassiumi déal pour l'énergie rapide.,2.61
3,,fruit,Cerise,De petites baies rouges sucrées parfaites pour l'été.,1.48
3,150,fruit,Cerise,De petites baies rouges sucrées parfaites pour l'été.,1.48
3,59,fruit,Cerise,De petites baies rouges sucrées parfaites pour l'été.,1.48
3,,fruit,Cerise,De petites baies rouges sucrées parfaites pour l'été.,1.48
3,90,fruit,Cerise,De petites baies rouges sucrées parfaites pour l'été.,1.48
3,,fruit,Cerise,De petites baies rouges sucrées parfaites pour l'été.,1.48
3,,fruit,Cerise,De petites baies rouges sucrées parfaites pour l'été.,1.48
4,146,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
4,,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
4,,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
4,,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
4,,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
4,,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
4,99,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
4,,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
4,,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
4,61,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
4,,fruit,Datte,Un fruit sucré et collant excellent pour la digestion.,2.44
5,,fruit,Figue,Un fruit sucré et délicat avec une chair tendre.,2.97
5,103,fruit,Figue,Un fruit sucré et délicat avec une chair tendre.,2.97
5,,fruit,Figue,Un fruit sucré et délicat avec une chair tendre.,2.97
5,,fruit,Figue,Un fruit sucré et délicat avec une chair tendre.,2.97
5,,fruit,Figue,Un fruit sucré et délicat avec une chair tendre.,2.97
5,119,fruit,Figue,Un fruit sucré et délicat avec une chair tendre.,2.97
5,,fruit,Figue,Un fruit sucré et délicat avec une chair tendre.,2.97
6,,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,149,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,167,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,159,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,118,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,132,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,30,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
6,,fruit,Grenade,Un fruit rempli de grains juteux et antioxydants.,3.28
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,168,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,125,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,10,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
7,,fruit,Kiwi,Un fruit vert acidulé riche en vitamine C.,4.64
8,,fruit,Mangue,Un fruit tropical doux et savoureux.,4.2
8,,fruit,Mangue,Un fruit tropical doux et savoureux.,4.2
8,18,fruit,Mangue,Un fruit tropical doux et savoureux.,4.2
8,,fruit,Mangue,Un fruit tropical doux et savoureux.,4.2
8,63,fruit,Mangue,Un fruit tropical doux et savoureux.,4.2
8,,fruit,Mangue,Un fruit tropical doux et savoureux.,4.2
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,15,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
9,,fruit,Orange,Un agrume juteux et rafraîchissant riche en vitamine C.,4.86
